BibliographyType,ISBN,Identifier,Author,Title,Journal,Volume,Number,Month,Pages,Year,Address,Note,URL,Booktitle,Chapter,Edition,Series,Editor,Publisher,ReportType,Howpublished,Institution,Organizations,School,Annote,Abstract,Custom2,Custom3,Custom4,Custom5
7,,,"Agnew, Stuart",Providers to enablers: reflections on the provision of positive activities targeting criminal and anti-social behaviour of young people,Contemporary Social Science,8,2,June,141--155,2013,,,http://dx.doi.org/10.1080/21582041.2012.751504,Contemporary Social Science,,,,,Routledge,,,,,,,"In June 2009, grants ranging from £200,000 to £600,000 were awarded via the Youth Sector Development Fund to 25 Civil Society Organisations. Reflecting the need for active citizenship so evident in contemporary youth discourse, the grants were aimed at increasing the participation of young people in rural areas. This article discusses two diverse projects resulting from this initiative which were evaluated by academics from University Campus Suffolk. Based in the East of England, each project received a substantial amount of public funding, approximately £600,000 and £400,000, respectively, which brought specific challenges. Each project had similar overall goals: reducing anti-social behaviour; helping young people enter education, employment or training; providing positive activities and increasing protective factors in young people ? such as a demonstrable increase in emotional and social skills together with reducing the likelihood of engaging in harmful activities. This article acknowledges that both projects required a substantive amount of ?buy-in? from existing youth providers and additional stakeholders; however, differing levels of support are clearly evident in terms of actively supporting the overall goals of the projects. Whilst a considerable number of young people engaged with positive activities during this funding round, the lack of community involvement in the management of the projects may have had a negative impact upon local perceptions of young people. Sustainability of projects beyond the funding received was an area of priority for the funders. There is, however, little evidence of success for this outcome. The current expectation of local authorities to ?enable? rather than to ?provide? support is an interesting context through which to explore the varying levels of engagement stakeholders involved in these projects. In June 2009, grants ranging from £200,000 to £600,000 were awarded via the Youth Sector Development Fund to 25 Civil Society Organisations. Reflecting the need for active citizenship so evident in contemporary youth discourse, the grants were aimed at increasing the participation of young people in rural areas. This article discusses two diverse projects resulting from this initiative which were evaluated by academics from University Campus Suffolk. Based in the East of England, each project received a substantial amount of public funding, approximately £600,000 and £400,000, respectively, which brought specific challenges. Each project had similar overall goals: reducing anti-social behaviour; helping young people enter education, employment or training; providing positive activities and increasing protective factors in young people ? such as a demonstrable increase in emotional and social skills together with reducing the likelihood of engaging in harmful activities. This article acknowledges that both projects required a substantive amount of ?buy-in? from existing youth providers and additional stakeholders; however, differing levels of support are clearly evident in terms of actively supporting the overall goals of the projects. Whilst a considerable number of young people engaged with positive activities during this funding round, the lack of community involvement in the management of the projects may have had a negative impact upon local perceptions of young people. Sustainability of projects beyond the funding received was an area of priority for the funders. There is, however, little evidence of success for this outcome. The current expectation of local authorities to ?enable? rather than to ?provide? support is an interesting context through which to explore the varying levels of engagement stakeholders involved in these projects.",doi: 10.1080/21582041.2012.751504,,,
7,,,"Alanne, Kari",An overview of game-based learning in building services engineering education,European Journal of Engineering Education,41,2,March,204--219,2016,,,http://dx.doi.org/10.1080/03043797.2015.1056097,European Journal of Engineering Education,,,,,Taylor & Francis,,,,,,,"To ensure proper competence development and short graduation times for engineering students, it is essential that the study motivation is encouraged by new learning methods. In game-based learning, the learner's engagement is increased and learning is made meaningful by applying game-like features such as competition and rewarding through virtual promotions or achievement badges. In this paper, the state of the art of game-based learning in building services engineering education at university level is reviewed and discussed. A systematic literature review indicates that educational games have been reported in the field of related disciplines, such as mechanical and civil engineering. The development of system-level educational games that realistically simulate work life in building services engineering is still in its infancy. Novel rewarding practices and more comprehensive approaches entailing the state-of-the-art information tools such as building information modelling, geographic information systems, building management systems and augmented reality are needed in the future. To ensure proper competence development and short graduation times for engineering students, it is essential that the study motivation is encouraged by new learning methods. In game-based learning, the learner's engagement is increased and learning is made meaningful by applying game-like features such as competition and rewarding through virtual promotions or achievement badges. In this paper, the state of the art of game-based learning in building services engineering education at university level is reviewed and discussed. A systematic literature review indicates that educational games have been reported in the field of related disciplines, such as mechanical and civil engineering. The development of system-level educational games that realistically simulate work life in building services engineering is still in its infancy. Novel rewarding practices and more comprehensive approaches entailing the state-of-the-art information tools such as building information modelling, geographic information systems, building management systems and augmented reality are needed in the future.",doi: 10.1080/03043797.2015.1056097,,,
7,,,"Alcorn, Janis B.; Zarzycki, Alejo & de la Cruz, Luis Maria","Poverty, governance and conservation in the Gran Chaco of South America",Biodiversity,11,1-2,September,39--44,2010,,,http://dx.doi.org/10.1080/14888386.2010.9712645,Biodiversity,,,,,Taylor & Francis,,,,,,,"Abstract The Gran Chaco is the second largest ecosystem in the Plata basin of South America, after the Amazon rainforest. The high biological and cultural diversity offer diverse opportunities for conservation, despite development threatening both of them. The greatest concentration of biodiversity remain in areas of northern Argentina and southern Bolivia where levels of poverty are very high, and indigenous peoples and poor criollo cattle raisers coexist. By improving informed governance, it is possible to stabilize biodiversity levels and provide a basis for poor local people to collaborate, and to improve their situation in the face of threats from development. In this study we analyze the ongoing processes being applied in two Gran Chaco cases?from the Upper Parapeti Basin (upriver from Kaa Iya National Park) in Bolivia, and the Lower Pilcomayo in northern Argentina (a dynamic internal delta ecosystem where a tri-national biosphere reserve is being considered). Watershed management, when adapted to local ecological, cultural, social and political contexts, is shown to be an effective tactical strategy to activate moribund governmental institutions in response to local constituencies. In the two cases presented, NGO-facilitated processes enriched local people's ability to take their own actions and to assess and frame their problems and goals for dialogue with their governments. The NGOs also offered technical assistance with land-use zoning, reforestation and alternative income-generation activities in collaborations that shifted government engagement. The methods used differ from the standard conservation and development projects, and their success offers lessons in building social network systems and civic science that improve conservation and reduce poverty. We close with a reflection on the framing of poverty alleviation and sustainability in conservation discourse. Abstract The Gran Chaco is the second largest ecosystem in the Plata basin of South America, after the Amazon rainforest. The high biological and cultural diversity offer diverse opportunities for conservation, despite development threatening both of them. The greatest concentration of biodiversity remain in areas of northern Argentina and southern Bolivia where levels of poverty are very high, and indigenous peoples and poor criollo cattle raisers coexist. By improving informed governance, it is possible to stabilize biodiversity levels and provide a basis for poor local people to collaborate, and to improve their situation in the face of threats from development. In this study we analyze the ongoing processes being applied in two Gran Chaco cases?from the Upper Parapeti Basin (upriver from Kaa Iya National Park) in Bolivia, and the Lower Pilcomayo in northern Argentina (a dynamic internal delta ecosystem where a tri-national biosphere reserve is being considered). Watershed management, when adapted to local ecological, cultural, social and political contexts, is shown to be an effective tactical strategy to activate moribund governmental institutions in response to local constituencies. In the two cases presented, NGO-facilitated processes enriched local people's ability to take their own actions and to assess and frame their problems and goals for dialogue with their governments. The NGOs also offered technical assistance with land-use zoning, reforestation and alternative income-generation activities in collaborations that shifted government engagement. The methods used differ from the standard conservation and development projects, and their success offers lessons in building social network systems and civic science that improve conservation and reduce poverty. We close with a reflection on the framing of poverty alleviation and sustainability in conservation discourse.",doi: 10.1080/14888386.2010.9712645,,,
7,,,"Alpert, Carol Lynn",Broadening and Deepening the Impact: A Theoretical Framework for Partnerships between Science Museums and STEM Research Centres,Social Epistemology,23,3-4,July,267--281,2009,,,http://dx.doi.org/10.1080/02691720903364142,Social Epistemology,,,,,Routledge,,,,,,,"The requirement by the National Science Foundation (NSF) that research proposals include plans for ?broader impact? activities to foster connections between Science, Technology, Engineering, and Math (STEM) research and service to society has been controversial since it was first introduced. A chief complaint is that the requirement diverts time and resources from the focus of research and toward activities for which researchers may not be well prepared. This paper describes the theoretical framework underlying a new strategy to pair NSF?funded nano research centres with science museums in order to achieve greater success in the broader impact mission, and to transform the perceived burden of the requirement into an opportunity to provide enhanced value to the constituencies of the partnering organizations, as well as to the larger community. This partnership approach is presented as a model that also can be applied to NSF?funded research centres in other STEM fields, and to non?NSF?funded STEM research centres nevertheless looking to pursue broader impacts types of activities. The model also provides an opportunity to stretch the typical spectrum of broader impacts activities to include citizen engagement in science, technology and societal concerns. The requirement by the National Science Foundation (NSF) that research proposals include plans for ?broader impact? activities to foster connections between Science, Technology, Engineering, and Math (STEM) research and service to society has been controversial since it was first introduced. A chief complaint is that the requirement diverts time and resources from the focus of research and toward activities for which researchers may not be well prepared. This paper describes the theoretical framework underlying a new strategy to pair NSF?funded nano research centres with science museums in order to achieve greater success in the broader impact mission, and to transform the perceived burden of the requirement into an opportunity to provide enhanced value to the constituencies of the partnering organizations, as well as to the larger community. This partnership approach is presented as a model that also can be applied to NSF?funded research centres in other STEM fields, and to non?NSF?funded STEM research centres nevertheless looking to pursue broader impacts types of activities. The model also provides an opportunity to stretch the typical spectrum of broader impacts activities to include citizen engagement in science, technology and societal concerns.",doi: 10.1080/02691720903364142,,,
7,,,"Aricat, Rajiv George",Mobile/Social Media Use for Political Purposes Among Migrant Laborers in Singapore,Journal of Information Technology & Politics,12,1,January,18--36,2015,,,http://dx.doi.org/10.1080/19331681.2014.994156,Journal of Information Technology & Politics,,,,,Routledge,,,,,,,"ABSTRACTPolitical participation has generally been evaluated among civic resident populations using the indices of voting and campaign participation. However, migrants? engagement with politics in their home country has become increasingly virtual with the advent of mobile/social media, suggesting a need to go beyond traditional theorizations. This article tries to understand how affordances of new media are leveraged by migrants with different political orientations as they engaged politically with their homeland. Two contexts were identified to understand their transnational political exchanges: (a) elections in homeland India, and (b) the backdrop of various civil society movements. In-depth interviews were conducted among 31 Indian migrants in Singapore with diverse political ideologies and linguistic backgrounds. Calling, messaging, sharing of news stories/posts, and commenting were the most commonly used mobile affordances. Social constructivist tradition in technology appropriation found support in the way respondents tested the affordances of mobile/social media before adding them to their usage repertoire. Due to limited political entitlements and lack of leeway in work schedules, no goal-oriented use of communication technologies was made. Political discussion hardly led to political action?such as demonstrations or public speeches?in the host country. ABSTRACTPolitical participation has generally been evaluated among civic resident populations using the indices of voting and campaign participation. However, migrants? engagement with politics in their home country has become increasingly virtual with the advent of mobile/social media, suggesting a need to go beyond traditional theorizations. This article tries to understand how affordances of new media are leveraged by migrants with different political orientations as they engaged politically with their homeland. Two contexts were identified to understand their transnational political exchanges: (a) elections in homeland India, and (b) the backdrop of various civil society movements. In-depth interviews were conducted among 31 Indian migrants in Singapore with diverse political ideologies and linguistic backgrounds. Calling, messaging, sharing of news stories/posts, and commenting were the most commonly used mobile affordances. Social constructivist tradition in technology appropriation found support in the way respondents tested the affordances of mobile/social media before adding them to their usage repertoire. Due to limited political entitlements and lack of leeway in work schedules, no goal-oriented use of communication technologies was made. Political discussion hardly led to political action?such as demonstrations or public speeches?in the host country.",doi: 10.1080/19331681.2014.994156,,,
7,,,"Bauermeister, Maxine L. & Diefenbacher, Lori H.",Beyond Recycling: Guiding Preservice Teachers to Understand and Incorporate the Deeper Principles of Sustainability,Childhood Education,91,5,September,325--331,2015,,,http://dx.doi.org/10.1080/00094056.2015.1090843,Childhood Education,,,,,Routledge,,,,,,,"Sustainability is a term with an evolving definition that applies to more than the physical environment. It speaks to the interconnectivity of every action we take (or fail to take) and to human beings' relationships with one another and their environment. A sustainable future is one in which global citizens engage in critical thinking, problem-solving, and collaboration to create a just and equitable society for all. Teachers have a role in cultivating these critical competencies?and the knowledge to go along with them?in their students. As the authors point out, this involves much more than a simple classroom recycling project or a field trip to the zoo. A broad conception of sustainability will foster students' ability to understand and live harmoniously in diverse societies. Through a holistic approach to sustainability, teachers can model for students how we can bring about a more peaceful and compassionate future. Sustainability is a term with an evolving definition that applies to more than the physical environment. It speaks to the interconnectivity of every action we take (or fail to take) and to human beings' relationships with one another and their environment. A sustainable future is one in which global citizens engage in critical thinking, problem-solving, and collaboration to create a just and equitable society for all. Teachers have a role in cultivating these critical competencies?and the knowledge to go along with them?in their students. As the authors point out, this involves much more than a simple classroom recycling project or a field trip to the zoo. A broad conception of sustainability will foster students' ability to understand and live harmoniously in diverse societies. Through a holistic approach to sustainability, teachers can model for students how we can bring about a more peaceful and compassionate future.",doi: 10.1080/00094056.2015.1090843,,,
7,,,"Bessant, Judith",Digital Spring? New media and new politics on the campus,Discourse: Studies in the Cultural Politics of Education,35,2,March,249--265,2014,,,http://dx.doi.org/10.1080/01596306.2012.745734,Discourse: Studies in the Cultural Politics of Education,,,,,Routledge,,,,,,,"Whilst the dynamics informing processes have taken time to become clear, civic resistance initiated by young people using new media began in Egypt in 2010 against the Mubarak regime, soon widened to Tunisia, Yemen and Libya. Known as the ?Arab Spring?, this phenomenon re-ignited discussion about the political role of digital space and its democratic potential. While parallels between authoritarian regimes and universities and educational institutions might seem overdrawn to some readers, I suggest there is value in considering the ?Digital Spring? (apropos the ?Arab Spring?) as a metaphor to suggest the possibility that similar processes are taking place in schools and universities. This invites discussion about the political significance of digital space and its democratic potential in those institutions. To assess how some young people engage in digitally mediated politics within schools and universities, I identify five propositions which amalgamate descriptive and normative elements derived from Habermas and Dahlgren. These propositions offer an ideal taxonomy of normative and descriptive elements to establish whether digital technology promotes participation and debate in ways that sustain democratic practice. Whilst the dynamics informing processes have taken time to become clear, civic resistance initiated by young people using new media began in Egypt in 2010 against the Mubarak regime, soon widened to Tunisia, Yemen and Libya. Known as the ?Arab Spring?, this phenomenon re-ignited discussion about the political role of digital space and its democratic potential. While parallels between authoritarian regimes and universities and educational institutions might seem overdrawn to some readers, I suggest there is value in considering the ?Digital Spring? (apropos the ?Arab Spring?) as a metaphor to suggest the possibility that similar processes are taking place in schools and universities. This invites discussion about the political significance of digital space and its democratic potential in those institutions. To assess how some young people engage in digitally mediated politics within schools and universities, I identify five propositions which amalgamate descriptive and normative elements derived from Habermas and Dahlgren. These propositions offer an ideal taxonomy of normative and descriptive elements to establish whether digital technology promotes participation and debate in ways that sustain democratic practice.",doi: 10.1080/01596306.2012.745734,,,
7,,,"Black, Laura W. & Wiederhold, Anna",Discursive Strategies of Civil Disagreement in Public Dialogue Groups,Journal of Applied Communication Research,42,3,July,285--306,2014,,,http://dx.doi.org/10.1080/00909882.2014.911938,Journal of Applied Communication Research,,,,,Routledge,,,,,,,"This case study investigates how participants in public dialogue sessions engaged in what they term ?civil disagreement.? These sessions encouraged participants to explore a wide range of policy options on a public issue and consider diverse perspectives and possibilities for action. Using Action Implicative Discourse Analysis, we examine civil disagreement as a discursive problem. We argue that ?civil disagreement? in public dialogue sessions is temporally bound, involves extended engagement in disagreement, and is viewed as productive by group members. Group members use discursive strategies such as challenging through questions, rearticulating claims while acknowledging other perspectives, and editing or reframing. Group members also use silence to demonstrate listening or to indicate their assessment of the situation as finalized. These discursive strategies demonstrate aspects of participants' situated ideals about public dialogue, which are related to their role in the disagreement and their construals of time. We offer practical implications for facilitators' use of guidelines, discussion of timing, and awareness of the multiple meanings of silence during disagreement. This case study investigates how participants in public dialogue sessions engaged in what they term ?civil disagreement.? These sessions encouraged participants to explore a wide range of policy options on a public issue and consider diverse perspectives and possibilities for action. Using Action Implicative Discourse Analysis, we examine civil disagreement as a discursive problem. We argue that ?civil disagreement? in public dialogue sessions is temporally bound, involves extended engagement in disagreement, and is viewed as productive by group members. Group members use discursive strategies such as challenging through questions, rearticulating claims while acknowledging other perspectives, and editing or reframing. Group members also use silence to demonstrate listening or to indicate their assessment of the situation as finalized. These discursive strategies demonstrate aspects of participants' situated ideals about public dialogue, which are related to their role in the disagreement and their construals of time. We offer practical implications for facilitators' use of guidelines, discussion of timing, and awareness of the multiple meanings of silence during disagreement.",doi: 10.1080/00909882.2014.911938,,,
7,,,"Brinkhurst, Emma",Archives and Access: Reaching Out to the Somali Community of London's King's Cross,Ethnomusicology Forum,21,2,August,243--258,2012,,,http://dx.doi.org/10.1080/17411912.2012.689470,Ethnomusicology Forum,,,,,Routledge,,,,,,,"As an oral society with no official written language until 1972, Somali history and cultural knowledge are predominantly stored in the memories of individuals and the concept of a physical repository such as a sound archive is alien within Somali culture. Following Somalia's civil war and the dispersal of over two million of its people, a Somali community has developed in the King's Cross area of London, which is home to the British Library (BL). As neighbours, the Somali community and the BL are geographically close but ideologically distant. However, facilitating engagement between Somali residents of King's Cross and archival recordings from Somalia held at the BL has demonstrated the potential of proactive archiving to contribute to ethnomusicological research methodology, to elucidate and impact upon diasporic and collective memory processes, and to benefit diasporic communities. In this article I will highlight the capacity of archival recordings to unlock embodied memories and reconnect those who have been subject to dislocation with aspects of their past identities, arguing that proactive archiving has the potential to contribute to the diasporic process of belonging to multiple locales. I will explore the challenges of collaboration between an institution such as the BL and an orally-founded refugee community, looking at the significance of key sites and individuals in the transmission of information. As an oral society with no official written language until 1972, Somali history and cultural knowledge are predominantly stored in the memories of individuals and the concept of a physical repository such as a sound archive is alien within Somali culture. Following Somalia's civil war and the dispersal of over two million of its people, a Somali community has developed in the King's Cross area of London, which is home to the British Library (BL). As neighbours, the Somali community and the BL are geographically close but ideologically distant. However, facilitating engagement between Somali residents of King's Cross and archival recordings from Somalia held at the BL has demonstrated the potential of proactive archiving to contribute to ethnomusicological research methodology, to elucidate and impact upon diasporic and collective memory processes, and to benefit diasporic communities. In this article I will highlight the capacity of archival recordings to unlock embodied memories and reconnect those who have been subject to dislocation with aspects of their past identities, arguing that proactive archiving has the potential to contribute to the diasporic process of belonging to multiple locales. I will explore the challenges of collaboration between an institution such as the BL and an orally-founded refugee community, looking at the significance of key sites and individuals in the transmission of information.",doi: 10.1080/17411912.2012.689470,,,
7,,,"Byrne, Jenny; Ideland, Malin; Malmberg, Claes & Grace, Marcus",Climate Change and Everyday Life: Repertoires children use to negotiate a socio-scientific issue,International Journal of Science Education,36,9,June,1491--1509,2014,,,http://dx.doi.org/10.1080/09500693.2014.891159,International Journal of Science Education,,,,,Routledge,,,,,,,"There are only a few studies about how primary school students engage in socio-scientific discussions. This study aims to add to this field of research by focusing on how 9?10-year-olds in Sweden and England handle climate change as a complex environmental socio-scientific issue (SSI), within the context of their own lives and in relation to society at large. It focuses on how different interpretative repertoires were used by the students in discussions to legitimise or question their everyday lifestyles. They discussed four possible options that a government might consider to help reduce carbon dioxide production. Six main repertoires were identified: Everyday life, Self-Interest, Environment, Science and Technology, Society and Justice. The Everyday life repertoire was used when students related their discussion to their everyday lifestyles. Science and technology-related solutions were offered to maintain or improve things, but these were sometimes rather unrealistic. Arguments related to environment and health frequently appeared to have a superior status compared to the others. Findings also highlighted how conflicts between the students were actually productive by bringing in several perspectives to negotiate the solutions. These primary school students were, therefore, able to discuss and negotiate a complex real-world SSI. Students positioned themselves as active contributors to society, using their life experiences and limited knowledge to understand the problems that affected their everyday lives. Honing these skills within a school science community of practice could facilitate primary students' engagement with SSIs and empower them as citizens. There are only a few studies about how primary school students engage in socio-scientific discussions. This study aims to add to this field of research by focusing on how 9?10-year-olds in Sweden and England handle climate change as a complex environmental socio-scientific issue (SSI), within the context of their own lives and in relation to society at large. It focuses on how different interpretative repertoires were used by the students in discussions to legitimise or question their everyday lifestyles. They discussed four possible options that a government might consider to help reduce carbon dioxide production. Six main repertoires were identified: Everyday life, Self-Interest, Environment, Science and Technology, Society and Justice. The Everyday life repertoire was used when students related their discussion to their everyday lifestyles. Science and technology-related solutions were offered to maintain or improve things, but these were sometimes rather unrealistic. Arguments related to environment and health frequently appeared to have a superior status compared to the others. Findings also highlighted how conflicts between the students were actually productive by bringing in several perspectives to negotiate the solutions. These primary school students were, therefore, able to discuss and negotiate a complex real-world SSI. Students positioned themselves as active contributors to society, using their life experiences and limited knowledge to understand the problems that affected their everyday lives. Honing these skills within a school science community of practice could facilitate primary students' engagement with SSIs and empower them as citizens.",doi: 10.1080/09500693.2014.891159,,,
