BibliographyType,ISBN,Identifier,Author,Title,Journal,Volume,Number,Month,Pages,Year,Address,Note,URL,Booktitle,Chapter,Edition,Series,Editor,Publisher,ReportType,Howpublished,Institution,Organizations,School,Annote,Abstract,Custom2,Custom3,Custom4,Custom5
7,,,"Allen, Mahalley D.; Parker, Sally A. & DeLorenzo, Teodora C.",Civic Engagement in the Community: Undergraduate Clinical Legal Education,Journal of Political Science Education,8,1,January,35--49,2012,,,http://dx.doi.org/10.1080/15512169.2012.641393,Journal of Political Science Education,,,,,Routledge,,,,,,,"The Community Legal Information Center (CLIC) of California State University, Chico, provides a unique civic engagement program designed to serve the legal service needs of Northern California. Founded in 1969, CLIC is now a 12-program, on-campus law clinic staffed by up to 125 undergraduate students each semester and is the most extensive undergraduate legal clinic in the nation. Although free legal clinics are not unusual at law schools, they are very rare at the undergraduate level. We discuss how CLIC successfully provides students with the opportunity to serve the legal needs of their community while also applying what they have learned through traditional classroom learning. Research on successful undergraduate civic engagement programs is significant because civic engagement and service-learning are often perceived as lacking educational quality and merit. Further, legitimate questions surrounding civic engagement programs, such as the proper educational methodology to be used in such programs, still exist. We explore how CLIC serves as a framework from which other academic programs can model their own civic engagement programs such that they integrate traditional academic exercises with community service. The Community Legal Information Center (CLIC) of California State University, Chico, provides a unique civic engagement program designed to serve the legal service needs of Northern California. Founded in 1969, CLIC is now a 12-program, on-campus law clinic staffed by up to 125 undergraduate students each semester and is the most extensive undergraduate legal clinic in the nation. Although free legal clinics are not unusual at law schools, they are very rare at the undergraduate level. We discuss how CLIC successfully provides students with the opportunity to serve the legal needs of their community while also applying what they have learned through traditional classroom learning. Research on successful undergraduate civic engagement programs is significant because civic engagement and service-learning are often perceived as lacking educational quality and merit. Further, legitimate questions surrounding civic engagement programs, such as the proper educational methodology to be used in such programs, still exist. We explore how CLIC serves as a framework from which other academic programs can model their own civic engagement programs such that they integrate traditional academic exercises with community service.",doi: 10.1080/15512169.2012.641393,,,
7,,,"Banaji, Shakuntala & Buckingham, David",THE CIVIC SELL,"Information, Communication & Society",12,8,December,1197--1223,2009,,,http://dx.doi.org/10.1080/13691180802687621,"Information, Communication & Society",,,,,Routledge,,,,,,,"This article is based on newly completed research looking at the role of the internet as a means of promoting civic engagement and participation among young people aged 15?25. It focuses on one specific aspect of this phenomenon, namely the use of websites to promote ?ethical consumption? among young people. This paper begins by briefly examining several intersecting works discussing not-for-profit marketing, commercial marketing, youth cultures and subcultures, politics, and ethical consumerism. It then moves on to examine the rhetorical constructions of youth identity and ethical consumerism on a range of civic websites, exploring the identifications and disavowals implicit in the language, layout, and imagery, and the conceptualizations civic-orientated Web producers have of their audiences and of consumption per se. This is achieved by taking a case-study approach involving a qualitative textual analysis of web-pages taken from UK and US-based sites such as Adbusters, Oxfam's Generation Why, Ethics Girls, Adili and Amnesty International, which advertise or promote the buying of ethical goods by young people. It also involves an analysis of the aims of the site producers, as exemplified on the sites? mission statements and in in-depth interviews. By means of this analysis, the article seeks to identify and assess the actually or potentially ?civic? aspects of these sites and to question the notion of ethical consumption in particular. This article is based on newly completed research looking at the role of the internet as a means of promoting civic engagement and participation among young people aged 15?25. It focuses on one specific aspect of this phenomenon, namely the use of websites to promote ?ethical consumption? among young people. This paper begins by briefly examining several intersecting works discussing not-for-profit marketing, commercial marketing, youth cultures and subcultures, politics, and ethical consumerism. It then moves on to examine the rhetorical constructions of youth identity and ethical consumerism on a range of civic websites, exploring the identifications and disavowals implicit in the language, layout, and imagery, and the conceptualizations civic-orientated Web producers have of their audiences and of consumption per se. This is achieved by taking a case-study approach involving a qualitative textual analysis of web-pages taken from UK and US-based sites such as Adbusters, Oxfam's Generation Why, Ethics Girls, Adili and Amnesty International, which advertise or promote the buying of ethical goods by young people. It also involves an analysis of the aims of the site producers, as exemplified on the sites? mission statements and in in-depth interviews. By means of this analysis, the article seeks to identify and assess the actually or potentially ?civic? aspects of these sites and to question the notion of ethical consumption in particular.",doi: 10.1080/13691180802687621,,,
7,,,"Bosch-Sijtsema, Petra M. & Bosch, Jan","Plays nice with others? Multiple ecosystems, various roles and divergent engagement models",Technology Analysis & Strategic Management,27,8,September,960--974,2015,,,http://dx.doi.org/10.1080/09537325.2015.1038231,Technology Analysis & Strategic Management,,,,,Routledge,,,,,,,"In strategic management, the term meta-organisation is discussed as a network of firms and individuals in which members coexist, collaborate and evolve through a set of relationships and together form a larger organism. We focus on the meta-organisation form of an ecosystem in the IT industry, which often is based around a technical architecture or platform. Studies often discuss one network and selected members in such a network, but few mention that firms can work in multiple ecosystems and need to apply divergent engagement models. We study how firms engage in multiple ecosystems through three qualitative case studies. The article contributes with the following: (1) firms often operate in multiple ecosystems for which they need to dynamically adapt their engagement strategy. (2) Firms are striving to balance between strategic divergences: power versus symbiosis and a collaborative approach versus a competitive approach. In strategic management, the term meta-organisation is discussed as a network of firms and individuals in which members coexist, collaborate and evolve through a set of relationships and together form a larger organism. We focus on the meta-organisation form of an ecosystem in the IT industry, which often is based around a technical architecture or platform. Studies often discuss one network and selected members in such a network, but few mention that firms can work in multiple ecosystems and need to apply divergent engagement models. We study how firms engage in multiple ecosystems through three qualitative case studies. The article contributes with the following: (1) firms often operate in multiple ecosystems for which they need to dynamically adapt their engagement strategy. (2) Firms are striving to balance between strategic divergences: power versus symbiosis and a collaborative approach versus a competitive approach.",doi: 10.1080/09537325.2015.1038231,,,
7,,,"Çelik, Gürkan",Breakpoint or Binder: Religious Engagement in Dutch Civil Society,Journal of Civil Society,9,3,September,248--267,2013,,,http://dx.doi.org/10.1080/17448689.2013.813733,Journal of Civil Society,,,,,Routledge,,,,,,,"Civil society as a social sphere is constantly subjected to change. Using the Dutch context, this article addresses the question whether religiously inspired engagement is a binder or a breakpoint in modern societies. The author examines how religiously inspired people in the Netherlands involve themselves in non-governmental organizations (NGOs) and voluntary activities. Religious involvement and social engagement in different European countries are compared and discussed. In addition, the author explores the models of civil society and applies these to both the Christian and Islamic civil society in the Netherlands. Using four religious ?identity organizations? as case studies, this article discusses the interaction of Christian and Islamic civil society related to secularized Dutch society. The character and intentions of religiously inspired organizations and the relationship between religious and secular involvement are examined. This study also focuses on the attitude of policymakers towards religiously inspired engagement and government policy on ?identity organizations? in the Netherlands. Civil society as a social sphere is constantly subjected to change. Using the Dutch context, this article addresses the question whether religiously inspired engagement is a binder or a breakpoint in modern societies. The author examines how religiously inspired people in the Netherlands involve themselves in non-governmental organizations (NGOs) and voluntary activities. Religious involvement and social engagement in different European countries are compared and discussed. In addition, the author explores the models of civil society and applies these to both the Christian and Islamic civil society in the Netherlands. Using four religious ?identity organizations? as case studies, this article discusses the interaction of Christian and Islamic civil society related to secularized Dutch society. The character and intentions of religiously inspired organizations and the relationship between religious and secular involvement are examined. This study also focuses on the attitude of policymakers towards religiously inspired engagement and government policy on ?identity organizations? in the Netherlands.",doi: 10.1080/17448689.2013.813733,,,
7,,,"Chadwick, Andrew",Explaining the Failure of an Online Citizen Engagement Initiative: The Role of Internal Institutional Variables,Journal of Information Technology & Politics,8,1,February,21--40,2011,,,http://dx.doi.org/10.1080/19331681.2010.507999,Journal of Information Technology & Politics,,,,,Routledge,,,,,,,"This article presents an exploratory case study based on fieldwork consisting of in-depth, semistructured interviews and group discussions with administrative, legal, political, and technology staff involved in an online citizen engagement initiative in ?TechCounty,? a pseudonymous U.S. local government authority operating in one of the most favorable sociodemographic and technological contexts imaginable. In contrast with many of the dominant approaches in the literature, the article reveals how a rich, complex, and sometimes surprising array of internal institutional variables explains the initiative's failure. The article highlights the fragile and uncertain adoption of online engagement by public organizations and the significance of this study's method for building theory and guiding future research. This article presents an exploratory case study based on fieldwork consisting of in-depth, semistructured interviews and group discussions with administrative, legal, political, and technology staff involved in an online citizen engagement initiative in ?TechCounty,? a pseudonymous U.S. local government authority operating in one of the most favorable sociodemographic and technological contexts imaginable. In contrast with many of the dominant approaches in the literature, the article reveals how a rich, complex, and sometimes surprising array of internal institutional variables explains the initiative's failure. The article highlights the fragile and uncertain adoption of online engagement by public organizations and the significance of this study's method for building theory and guiding future research.",doi: 10.1080/19331681.2010.507999,,,
7,,,"Chen, Wenhong","Taking stock, moving forward: the Internet, social networks and civic engagement in Chinese societies","Information, Communication & Society",17,1,January,1--6,2014,,,http://dx.doi.org/10.1080/1369118X.2013.857425,"Information, Communication & Society",,,,,Routledge,,,,,,,"The Internet in China reflects many contradictions and complexities of the society in which it is embedded. Despite the growing significance of digital media and technologies, research on their contingent, nonlinear, and sometimes paradoxical impact on Chinese citizens' civic engagement remains theoretically underdeveloped and empirically understudied. As importantly, many studies on the Internet implications in the Chinese societies have centered on China. This essay introduces seven articles that draw on a variety of theoretical and methodological approaches to advance a balanced and context-rich understanding of the implications of digital media and technologies in China, Taiwan, and the global Chinese diaspora. It further discusses venues for future research, especially studies that take into account the evolving Chinese media landscape and the rise of the mobile Internet, civic and political participation across multiple platforms and their interactions, as well as organizational and interpersonal networks as the state and an emerging civil society inform, empower, and engage one another via digital media. The Internet in China reflects many contradictions and complexities of the society in which it is embedded. Despite the growing significance of digital media and technologies, research on their contingent, nonlinear, and sometimes paradoxical impact on Chinese citizens' civic engagement remains theoretically underdeveloped and empirically understudied. As importantly, many studies on the Internet implications in the Chinese societies have centered on China. This essay introduces seven articles that draw on a variety of theoretical and methodological approaches to advance a balanced and context-rich understanding of the implications of digital media and technologies in China, Taiwan, and the global Chinese diaspora. It further discusses venues for future research, especially studies that take into account the evolving Chinese media landscape and the rise of the mobile Internet, civic and political participation across multiple platforms and their interactions, as well as organizational and interpersonal networks as the state and an emerging civil society inform, empower, and engage one another via digital media.",doi: 10.1080/1369118X.2013.857425,,,
7,,,"Chu, Eric; Anguelovski, Isabelle & Carmin, JoAnn",Inclusive approaches to urban climate adaptation planning and implementation in the Global South,Climate Policy,,,March,1--21,2015,,,http://dx.doi.org/10.1080/14693062.2015.1019822,Climate Policy,,,,,Taylor & Francis,,,,,,,"As cities increasingly engage in climate adaptation planning, many are seeking to promote public participation and facilitate the engagement of different civil society actors. Still, the variations that exist among participatory approaches and the merits and tradeoffs associated with each are not well understood. This article examines the experiences of Quito (Ecuador) and Surat (India) to assess how civil society actors contribute to adaptation planning and implementation. The results showcase two distinct approaches to public engagement. The first emphasizes participation of experts, affected communities, and a wide array of citizens to sustain broadly inclusive programmes that incorporate local needs and concerns into adaptation processes and outcomes. The second approach focuses on building targeted partnerships between key government, private, and civil society actors to institutionalize robust decision-making structures, enhance abilities to raise funds, and increase means to directly engage with local community and international actors. A critical analysis of these approaches suggests more inclusive planning processes correspond to higher climate equity and justice outcomes in the short term, but the results also indicate that an emphasis on building dedicated multi-sector governance institutions may enhance long-term programme stability, while ensuring that diverse civil society actors have an ongoing voice in climate adaptation planning and implementation.Policy relevanceMany local governments in the Global South experience severe capacity and resource constraints. Cities are often required to devolve large-scale planning and decision-making responsibilities, such as those critical to climate adaptation, to different civil society actors. As a result, there needs to be more rigorous assessments of how civil society participation contributes to the adaptation policy and planning process and what local social, political, and economic factors dictate the way cities select different approaches to public engagement. Also, since social equity and justice are key indicators for determining the effectiveness and sustainability of adaptation interventions, urban adaptation plans and policies must also be designed according to local institutional strengths and civic capacities in order to account for the needs of the poor and most vulnerable. Inclusivity, therefore, is critical for ensuring equitable planning processes and just adaptation outcomes. As cities increasingly engage in climate adaptation planning, many are seeking to promote public participation and facilitate the engagement of different civil society actors. Still, the variations that exist among participatory approaches and the merits and tradeoffs associated with each are not well understood. This article examines the experiences of Quito (Ecuador) and Surat (India) to assess how civil society actors contribute to adaptation planning and implementation. The results showcase two distinct approaches to public engagement. The first emphasizes participation of experts, affected communities, and a wide array of citizens to sustain broadly inclusive programmes that incorporate local needs and concerns into adaptation processes and outcomes. The second approach focuses on building targeted partnerships between key government, private, and civil society actors to institutionalize robust decision-making structures, enhance abilities to raise funds, and increase means to directly engage with local community and international actors. A critical analysis of these approaches suggests more inclusive planning processes correspond to higher climate equity and justice outcomes in the short term, but the results also indicate that an emphasis on building dedicated multi-sector governance institutions may enhance long-term programme stability, while ensuring that diverse civil society actors have an ongoing voice in climate adaptation planning and implementation.Policy relevanceMany local governments in the Global South experience severe capacity and resource constraints. Cities are often required to devolve large-scale planning and decision-making responsibilities, such as those critical to climate adaptation, to different civil society actors. As a result, there needs to be more rigorous assessments of how civil society participation contributes to the adaptation policy and planning process and what local social, political, and economic factors dictate the way cities select different approaches to public engagement. Also, since social equity and justice are key indicators for determining the effectiveness and sustainability of adaptation interventions, urban adaptation plans and policies must also be designed according to local institutional strengths and civic capacities in order to account for the needs of the poor and most vulnerable. Inclusivity, therefore, is critical for ensuring equitable planning processes and just adaptation outcomes.",doi: 10.1080/14693062.2015.1019822,,,
7,,,"Cicognani, Elvira; Albanesi, Cinzia; Mazzoni, Davide; Prati, Gabriele & Zani, Bruna",Explaining offline and online civic engagement intentions between Italian and migrant youth / Análisis de las intenciones de participación cívica virtual y presencial entre jóvenes italianos y emigrantes,Revista de Psicología Social,,,February,1--35,2016,,,http://dx.doi.org/10.1080/02134748.2016.1143177,Revista de Psicología Social,,,,,Routledge,,,,,,,"AbstractThe aim of the study was to assess the role of some psychosocial factors in explaining offline and online civic engagement intentions in a sample of Italian and second generation migrant (Albanian and Moroccan) adolescents and young adults living in Italy. The theoretical model was an extended version of the Theory of Planned Behaviour including past experience. The sample included 598 adolescents and young adults (M = 19.32, SD = 3.17). Two hundred were Italian (88 males, 44.0%), 197 migrants of Albanian origin (130 males, 66%) and 201 migrants of Moroccan origin (116 males, 57.7%). Moroccan youth reported higher levels of both past civic engagement and future intentions than Albanian and Italian peers. Perceived effectiveness of civic engagement and past experience are consistently associated with stronger intentions to engage in the future (offline and online) in all groups. Internal efficacy plays a limited role, whereas the role of subjective norms differs according to the group and the source of normative influence (parents, peers). AbstractThe aim of the study was to assess the role of some psychosocial factors in explaining offline and online civic engagement intentions in a sample of Italian and second generation migrant (Albanian and Moroccan) adolescents and young adults living in Italy. The theoretical model was an extended version of the Theory of Planned Behaviour including past experience. The sample included 598 adolescents and young adults (M = 19.32, SD = 3.17). Two hundred were Italian (88 males, 44.0%), 197 migrants of Albanian origin (130 males, 66%) and 201 migrants of Moroccan origin (116 males, 57.7%). Moroccan youth reported higher levels of both past civic engagement and future intentions than Albanian and Italian peers. Perceived effectiveness of civic engagement and past experience are consistently associated with stronger intentions to engage in the future (offline and online) in all groups. Internal efficacy plays a limited role, whereas the role of subjective norms differs according to the group and the source of normative influence (parents, peers).",doi: 10.1080/02134748.2016.1143177,,,
7,,,"Cotton, Matthew David & Mahroos-Alsaiari, Ahmed A.",Key actor perspectives on stakeholder engagement in Omani Environmental Impact Assessment: an application of Q-Methodology,Journal of Environmental Planning and Management,58,1,January,91--112,2015,,,http://dx.doi.org/10.1080/09640568.2013.847822,Journal of Environmental Planning and Management,,,,,Routledge,,,,,,,"Stakeholder engagement (SE), particularly with representatives of locally affected communities, is integral to Environmental Impact Assessment (EIA) processes, so critical evaluation of SE is necessary across a range of different socio-political contexts. EIA SE practice in the Sultanate of Oman is examined using Q-Methodology, a qualitative-quantitative discourse analysis technique, in order to evaluate key-actor perspectives and policy directions. Four discourses emerge, pertaining to (1) the institutionalisation of SE; (2) business as usual; (3) rights-centred engagement; and (4) decentralisation of EIA institutions. Consensus emerges that shows support for transparency and formalisation of SE; greater citizen-centred decision-making power; transparency in government guidelines; and the elimination of developer-led consultation processes. Policy options for reforming EIA policy are discussed, including a code of participation practice and a toolkit of suitable engagement methods. Stakeholder engagement (SE), particularly with representatives of locally affected communities, is integral to Environmental Impact Assessment (EIA) processes, so critical evaluation of SE is necessary across a range of different socio-political contexts. EIA SE practice in the Sultanate of Oman is examined using Q-Methodology, a qualitative-quantitative discourse analysis technique, in order to evaluate key-actor perspectives and policy directions. Four discourses emerge, pertaining to (1) the institutionalisation of SE; (2) business as usual; (3) rights-centred engagement; and (4) decentralisation of EIA institutions. Consensus emerges that shows support for transparency and formalisation of SE; greater citizen-centred decision-making power; transparency in government guidelines; and the elimination of developer-led consultation processes. Policy options for reforming EIA policy are discussed, including a code of participation practice and a toolkit of suitable engagement methods.",doi: 10.1080/09640568.2013.847822,,,
7,,,"Deligiaouri, Anastasia",Open Governance and E-Rulemaking: Online Deliberation and Policy-Making in Contemporary Greek Politics,Journal of Information Technology & Politics,10,1,January,104--124,2013,,,http://dx.doi.org/10.1080/19331681.2012.746109,Journal of Information Technology & Politics,,,,,Routledge,,,,,,,"ABSTRACT The Internet and its innovative communicative codes stand at the center of a discussion regarding a new, more participatory, direct, and ?strong? democracy. The widespread use of the Internet and its applications has profound implications on several facets of political life, such as the procedure of rulemaking. In modern, ?large-scale? democracies, the complexity and plurality of political interests seem to be under-represented in official parliamentary procedures. The model of open governance enables citizens to contribute toward how decisions are taken and accordingly democratize rulemaking. At the same time, it increases citizens' ability to exercise control over the elected political representatives. One recent implementation of the idea of an open (e-)government in Greece is the Web site http://www.opengov.gr that was launched by the newly elected government of the Socialist party (PASOK) in October 2009. In this Web site, draft laws per ministry are uploaded, and citizens can upload their comments on every article, expressing their opinion or their disagreement. This online deliberative procedure provides a forum for constructive civic engagement on rulemaking and, moreover, given that the comments are incorporated into the final legal document, gives citizens the chance to affect policy-making to a certain degree. The Web site also provides the opportunity to watch videos of cabinet councils as a fulfillment of transparency in political procedures. This article examines how the premise of open governance is being implemented by the e-rulemaking process on the specific Web site, and assesses its impact on legislation and policy-making issues. ABSTRACT The Internet and its innovative communicative codes stand at the center of a discussion regarding a new, more participatory, direct, and ?strong? democracy. The widespread use of the Internet and its applications has profound implications on several facets of political life, such as the procedure of rulemaking. In modern, ?large-scale? democracies, the complexity and plurality of political interests seem to be under-represented in official parliamentary procedures. The model of open governance enables citizens to contribute toward how decisions are taken and accordingly democratize rulemaking. At the same time, it increases citizens' ability to exercise control over the elected political representatives. One recent implementation of the idea of an open (e-)government in Greece is the Web site http://www.opengov.gr that was launched by the newly elected government of the Socialist party (PASOK) in October 2009. In this Web site, draft laws per ministry are uploaded, and citizens can upload their comments on every article, expressing their opinion or their disagreement. This online deliberative procedure provides a forum for constructive civic engagement on rulemaking and, moreover, given that the comments are incorporated into the final legal document, gives citizens the chance to affect policy-making to a certain degree. The Web site also provides the opportunity to watch videos of cabinet councils as a fulfillment of transparency in political procedures. This article examines how the premise of open governance is being implemented by the e-rulemaking process on the specific Web site, and assesses its impact on legislation and policy-making issues.",doi: 10.1080/19331681.2012.746109,,,
